INFO 2025-09-04 19:06:15,362 autoreload Watching for file changes with StatReloader
INFO 2025-09-04 19:29:09,382 autoreload /home/tuhin/ProjectCanvas/backend/backend/settings.py changed, reloading.
INFO 2025-09-04 19:29:09,694 autoreload Watching for file changes with StatReloader
INFO 2025-09-04 19:32:15,717 basehttp "OPTIONS /api/signup/ HTTP/1.1" 200 0
INFO 2025-09-04 19:32:20,599 basehttp "POST /api/signup/ HTTP/1.1" 200 165
INFO 2025-09-04 19:33:17,585 basehttp "OPTIONS /api/login/ HTTP/1.1" 200 0
WARNING 2025-09-04 19:33:17,643 log Forbidden (Origin checking failed - http://localhost:5173 does not match any trusted origins.): /api/login/
WARNING 2025-09-04 19:33:17,644 basehttp "POST /api/login/ HTTP/1.1" 403 2554
WARNING 2025-09-04 19:34:33,291 log Forbidden (Origin checking failed - http://localhost:5173 does not match any trusted origins.): /api/login/
WARNING 2025-09-04 19:34:33,292 basehttp "POST /api/login/ HTTP/1.1" 403 2554
INFO 2025-09-04 19:34:50,335 basehttp "GET /admin/ HTTP/1.1" 200 6651
INFO 2025-09-04 19:34:50,384 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:50,385 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-09-04 19:34:50,385 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:50,385 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-09-04 19:34:50,385 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-09-04 19:34:50,385 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-09-04 19:34:50,386 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-04 19:34:50,482 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-09-04 19:34:50,482 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-09-04 19:34:52,636 basehttp "GET /admin/projectcanvas/user/ HTTP/1.1" 200 9554
INFO 2025-09-04 19:34:52,686 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,689 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,689 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,689 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,689 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,690 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,691 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,694 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,694 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,695 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-09-04 19:34:52,696 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-04 19:34:52,785 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-04 19:34:52,785 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-04 19:34:55,984 basehttp "GET /admin/projectcanvas/user/2/change/ HTTP/1.1" 200 23790
INFO 2025-09-04 19:34:56,029 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-09-04 19:34:56,030 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-09-04 19:34:56,031 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-09-04 19:34:56,033 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-09-04 19:34:56,034 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-09-04 19:34:56,034 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-04 19:34:56,064 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-09-04 19:34:56,118 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
WARNING 2025-09-04 19:34:56,164 log Not Found: /favicon.ico
INFO 2025-09-04 19:34:56,165 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-09-04 19:34:56,169 basehttp "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-09-04 19:34:56,206 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-09-04 19:34:56,206 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-09-04 19:34:56,231 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-09-04 19:34:56,232 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-09-04 19:34:56,232 basehttp "GET /static/admin/img/calendar-icons.svg HTTP/1.1" 200 2455
INFO 2025-09-04 19:45:05,023 autoreload /home/tuhin/ProjectCanvas/backend/projectcanvas/models.py changed, reloading.
INFO 2025-09-04 19:45:05,485 autoreload Watching for file changes with StatReloader
INFO 2025-09-04 19:46:41,092 autoreload /home/tuhin/ProjectCanvas/backend/projectcanvas/views.py changed, reloading.
INFO 2025-09-04 19:46:41,492 autoreload Watching for file changes with StatReloader
INFO 2025-09-04 19:47:46,761 autoreload /home/tuhin/ProjectCanvas/backend/projectcanvas/urls.py changed, reloading.
INFO 2025-09-04 19:47:47,039 autoreload Watching for file changes with StatReloader
INFO 2025-09-04 20:18:57,280 basehttp "GET /admin/projectcanvas/user/2/change/ HTTP/1.1" 200 23790
INFO 2025-09-04 20:18:57,361 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-09-04 20:18:57,510 log Not Found: /favicon.ico
INFO 2025-09-04 20:22:35,585 autoreload /home/tuhin/ProjectCanvas/backend/projectcanvas/views.py changed, reloading.
